type,id,center/lat,center/lon,nodes/0,nodes/1,nodes/2,nodes/3,nodes/4,nodes/5,nodes/6,nodes/7,nodes/8,nodes/9,nodes/10,nodes/11,nodes/12,nodes/13,nodes/14,nodes/15,nodes/16,nodes/17,nodes/18,nodes/19,nodes/20,nodes/21,nodes/22,nodes/23,nodes/24,nodes/25,nodes/26,nodes/27,nodes/28,nodes/29,tags/landuse,nodes/30,nodes/31,nodes/32,nodes/33,nodes/34,nodes/35,nodes/36,nodes/37,nodes/38,nodes/39,nodes/40,nodes/41,nodes/42,nodes/43,nodes/44,nodes/45,nodes/46,nodes/47,nodes/48,nodes/49,nodes/50,nodes/51,nodes/52,nodes/53,nodes/54,nodes/55,nodes/56,nodes/57,nodes/58,nodes/59,nodes/60,nodes/61,nodes/62,nodes/63,nodes/64,nodes/65,nodes/66,nodes/67,nodes/68,nodes/69,nodes/70,nodes/71,nodes/72,nodes/73,nodes/74,nodes/75,nodes/76,nodes/77,nodes/78,nodes/79,nodes/80,nodes/81,nodes/82,nodes/83,nodes/84,nodes/85,nodes/86,nodes/87,nodes/88,nodes/89,nodes/90,nodes/91,nodes/92,nodes/93,nodes/94,nodes/95,nodes/96,nodes/97,nodes/98,nodes/99,nodes/100,nodes/101,nodes/102,nodes/103,nodes/104,nodes/105,nodes/106,nodes/107,nodes/108,nodes/109,nodes/110,nodes/111,nodes/112,nodes/113,nodes/114,nodes/115,nodes/116,nodes/117,nodes/118,nodes/119,nodes/120,nodes/121,nodes/122,nodes/123,nodes/124,nodes/125,nodes/126,nodes/127,nodes/128,nodes/129,nodes/130,nodes/131,nodes/132,nodes/133,nodes/134,nodes/135,nodes/136,nodes/137,nodes/138,nodes/139,nodes/140,nodes/141,nodes/142,nodes/143,nodes/144,nodes/145,nodes/146,nodes/147,nodes/148,nodes/149,nodes/150,nodes/151,nodes/152,nodes/153,nodes/154,nodes/155,nodes/156,nodes/157,nodes/158,nodes/159,nodes/160,nodes/161,nodes/162,nodes/163,nodes/164,nodes/165,nodes/166,nodes/167,nodes/168,nodes/169,nodes/170,nodes/171,nodes/172,nodes/173,nodes/174,nodes/175,nodes/176,nodes/177,nodes/178,nodes/179,nodes/180,nodes/181,nodes/182,tags/crop,tags/int_name,tags/name,tags/name:en,tags/name:mk,tags/layer,tags/operator,tags/grape_variety,members/0/type,members/0/ref,members/0/role,members/1/type,members/1/ref,members/1/role,tags/type
way,176304645,42.0357851,21.439541,1868499195,1868499216,1868499032,1868499214,1868499143,1868499186,1868499122,1868499037,1868499049,1868499035,1868499106,1868499051,1868499180,1868499194,1868499054,1868499161,1868499089,1868499147,1868499082,1868499059,1868499131,1868499189,1868499176,1868499167,1868499046,1868499118,1868499160,1868499213,1868499069,1868499195,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,176306019,42.0321931,21.4551121,1868512563,1868512503,1927853908,1927853912,1868512520,1868512449,1927853924,1868512499,1868512447,1868512533,1927853903,1868512476,1927853876,1868512437,1927853921,1868512510,1868512423,1868512454,1868512414,1868512544,1868512403,1868553615,1868553621,1868553601,1868512444,1868553576,1868512448,1868512473,1868512460,1927853917,vineyard,1927853877,1868512563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,177476819,41.9340963,21.4643274,1879119266,1879119190,1879119156,1879119221,1879119220,1879119263,2397233793,1879119189,1879119186,1879119166,1879119257,1879119151,1879119230,1879119259,1879119260,1879119109,1879119117,2397233988,1879119131,1879119115,1879119158,1879119120,1879119100,1879119199,1879119179,1879119254,1879119268,1879119175,1879119106,1879119250,vineyard,1879119098,1879119265,1879119216,1879119209,1879119144,1879119272,1879119213,1879119108,1879119267,1879119127,1879119147,1879119229,1879119096,1879119184,1879119231,1879119160,1879119210,1879119152,1879119130,1879119248,1879119159,1879119121,1879119180,1879119238,1879119218,1879119097,1879119103,2393439394,1879119205,1879119271,1879119188,1879119101,1879119215,1879119243,1879119126,1879119133,1879119112,1879119094,1879119132,1879119249,10924985639,1879119234,1879119240,1879119237,10924985642,1879119244,1879119136,1879119139,1879119226,2426567505,1879119137,1879119129,1879119138,1879119143,1879119163,1879119164,1879119153,1879119169,2426567466,1879119172,1879119167,1879119165,2426567647,1879119142,1879119193,1879119150,1879119195,1879119236,1879119104,1879119225,1879119239,1879119224,1879119247,1879119245,1879119197,1879119123,1879119111,2426567609,1879119174,1879119119,1879119118,2397823135,2397823850,1879119176,2397824774,2397823373,1879119185,1879119258,1879119251,1879119122,2397824116,1879119107,2397824833,1879119217,1879119253,1879119177,1879119273,1879119183,1879119178,1879119145,1879119223,1879119276,1879119135,1879119157,1879119207,2397207458,1879119141,1879119099,1879119182,1879119192,1879119232,1879119270,1879119124,1879119246,1879119222,1879119168,1879119264,1879119242,1879119161,1879119125,1879119256,1879119105,1879119102,1879119227,1879119181,1879119219,1879119274,1879119162,1879119235,1879119262,1879119110,1879119269,1879119113,1879119233,1879119191,1879119128,1879119211,1879119275,1879119116,1879119140,1879119203,1879119093,1879119170,1879119148,1879119154,1879119214,1879119146,1879119173,1879119241,1879119252,1879119255,1879119149,1879119266,grape,,,,,,,,,,,,,,
way,180504312,41.5499967,22.017733,1909340998,1909340924,1909341123,1909341159,1909341084,1909341051,1909340929,1909341130,1909341004,1909341132,1909341172,1909340998,,,,,,,,,,,,,,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180716824,41.4126634,22.2333076,1911710878,1911710840,1911710834,1911710796,1911710788,1911710851,1911710763,1911710809,1911710762,1911710802,1911710815,1911710821,1911710756,1911710801,1911710861,1911710883,1911710819,1911710812,1911710849,1911710765,1911710807,1911710855,1911710792,1911710767,1911710853,1911710859,1911710877,1911710760,1911710846,1911710771,vineyard,1911710875,1911710844,1911710814,1911710879,1911710885,1911710881,1911710839,1911710758,1911710842,1911710880,1911710857,1911710773,1911710873,1911710886,1911710847,1911710882,1911710836,1911710838,1911710845,1911710800,1911710823,9261054315,1911710878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grape,,,,,,,,,,,,,,
way,180722344,41.4101216,22.2247861,1911783670,1911783608,1911784658,1911784200,1911783767,1911783851,1911783311,1911783860,1911783338,1911783403,1911783694,1911783515,1911784444,1911783867,1911783561,1911783374,1911783900,1911784476,1911783440,1911783820,1911783605,1911783646,1911783893,1911783663,1911783615,1911784373,1911784423,1911783430,1911783962,1911783439,vineyard,1911784360,1911784145,1911784450,1911783903,1911783670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180725208,41.3311403,22.136366,1911824395,1911824680,1911826071,1911824690,1911824564,1911824156,1911824738,1911826147,1911824748,1911824504,1911825703,1911824940,1911824240,1911824842,1911825169,1911825585,1911824901,1911825208,1911825196,1911826016,1911824345,1911825684,1911824731,1911825785,1911825821,1911825654,1911825143,1911824688,1911825402,1911824966,vineyard,1911824217,1911825891,1911824441,1911826025,1911825406,1911825022,1911824299,1911824291,1911825392,1911825797,1911825669,1911825598,1911824888,1911825581,1911825494,1911824559,1911825039,1911824899,1911825557,1911825823,1911826073,1911824378,1911826141,1911824814,1911825245,1911824840,1911826217,1911826362,1911825601,1911825400,1911824569,1911825688,1911825689,1911824796,1911824634,1911825816,1911824779,1911824699,1911826080,1911824571,1911825996,1911825103,1911824826,1911826064,1911826167,1911824267,1911825064,1911824689,1911825376,1911825090,1911825457,1911824733,1911826015,1911825072,1911824288,1911825793,1911826040,1911826437,1911826158,1911825854,1911825334,1911825750,1911824766,1911824630,1911825815,1911824269,1911825105,1911826221,1911824337,1911825683,1911826441,1911826137,1911824179,1911824222,1911825434,1911824404,1911826243,1911826115,1911826313,1911824387,1911824567,1911826037,1911824557,1911825302,1911824501,1911825923,1911825112,1911824674,1911825452,1911825833,1911825553,1911824196,1911825695,1911825743,1911825643,1911824896,1911824454,1911826131,1911825926,1911825795,1911824395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180725209,41.3230241,22.1214009,1911825481,1911824848,1911824820,1911824729,1911824801,1911825260,1911825747,1911825574,1911826227,1911825290,1911824278,1911825189,1911824453,1911824455,1911824514,1911825842,1911826388,1911824398,1911826384,1911826162,1911825227,1911826317,1911825220,1911825241,1911824281,1911824945,1911824677,1911825075,1911825532,1911825314,vineyard,1911826239,1911824390,1911826059,1911825412,1911824968,1911824984,1911824943,1911824944,1911825991,1911824886,1911825445,1911825332,1911825336,1911825205,1911824742,1911825404,1911825481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180725210,41.3183296,22.1301502,1911825384,1911824939,1911825319,1911825732,1911825178,1911825607,1911824636,1911825745,1911824376,1911825848,1911824558,1911824333,1911826134,1911825352,1911825100,1911826086,1911825741,1911824941,1911825830,1911825876,1911825361,1911824816,1911825483,1911825306,1911825384,,,,,,vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180725211,41.3123789,22.1258329,1911824237,1911824903,1911824818,1911825666,1911824883,1911825530,1911825525,1911825476,1911824632,1911825958,1911824810,1911824122,1911824184,1911824764,1911825605,1911825801,1911825294,1911824893,1911825341,1911825301,1911825181,1911824913,1911825729,1911825311,1911825396,1911824736,1911826440,1911826323,1911826018,1911825026,vineyard,1911824335,1911824165,1911826207,1911824124,1911825346,1911824838,1911824829,1911826154,1911825288,1911824415,1911824831,1911824245,1911826428,1911826379,1911825752,1911825325,1911824900,1911824919,1911824938,1911824249,1911824211,1911825716,1911824445,1911824273,1911826286,1911825033,1911825098,1911824411,1911824213,1911825501,1911824556,1911825463,1911826386,1911824799,1911824192,1911825507,1911825871,1911824120,1911825555,1911824215,1911824921,1911825570,1911824460,1911824343,1911824971,1911824326,1911824977,1911826356,1911824053,1911825297,1911824880,1911826088,1911824904,1911825537,1911824237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
