id,center/lat,center/lon,tags/landuse,tags/name,locations
176304645,42.0357851,21.439541,Vineyard,Vineyard Surface,"Boca Ivanova, Butel 2, Butel, Skopje, Municipality of Butel, City of Skopje, Skopje Region, 1010, North Macedonia"
176306019,42.0321931,21.4551121,Vineyard,Vineyard Surface,"Butel 2, Butel, Skopje, Municipality of Butel, City of Skopje, Skopje Region, 1010, North Macedonia"
177476819,41.9340963,21.4643274,Vineyard,Vineyard Surface,"Ljubosh, Batinci, Municipality of Studenichani, Skopje Region, 1050, North Macedonia"
180504312,41.5499967,22.017733,Vineyard,Vineyard Surface,"Kurija, Municipality of Negotino, Vardar Region, North Macedonia"
180716824,41.4126634,22.2333076,Vineyard,Vineyard Surface,"Demir Kapija, Municipality of Demir Kapija, Vardar Region, 1442, North Macedonia"
180722344,41.4101216,22.2247861,Vineyard,Vineyard Surface,"Попова Кула, A113, Demir Kapija, Municipality of Demir Kapija, Vardar Region, 1442, North Macedonia"
180725208,41.3311403,22.136366,Vineyard,Vineyard Surface,"R29171, Barovo, Municipality of Demir Kapija, Vardar Region, North Macedonia"
180725209,41.3230241,22.1214009,Vineyard,Vineyard Surface,"Stragovo, Municipality of Kavadarci, Vardar Region, North Macedonia"
180725210,41.3183296,22.1301502,Vineyard,Vineyard Surface,"Krnjevo, Municipality of Kavadarci, Vardar Region, North Macedonia"
180725211,41.3123789,22.1258329,Vineyard,Vineyard Surface,"Grkov Winery, R29171, Krnjevo, Municipality of Kavadarci, Vardar Region, North Macedonia"
180725214,41.3207237,22.1327745,Vineyard,Vineyard Surface,"R29171, Krnjevo, Municipality of Kavadarci, Vardar Region, North Macedonia"
184757068,41.4888497,22.0336118,Vineyard,Vineyard Surface,"Sopot, Municipality of Kavadarci, Vardar Region, North Macedonia"
184757069,41.4858321,22.0312622,Vineyard,Vineyard Surface,"Sopot, Municipality of Kavadarci, Vardar Region, 1430, North Macedonia"
184757071,41.4824835,22.0363959,Vineyard,Vineyard Surface,"Sopot, Municipality of Kavadarci, Vardar Region, North Macedonia"
184757078,41.4729914,22.0365193,Vineyard,Vineyard Surface,"R1103, Marena, Municipality of Kavadarci, Vardar Region, 1440, North Macedonia"
184757084,41.472075,22.0306452,Vineyard,Vineyard Surface,"Marena, Municipality of Kavadarci, Vardar Region, 1430, North Macedonia"
184757085,41.4850524,22.0361041,Vineyard,Vineyard Surface,"Sopot, Municipality of Kavadarci, Vardar Region, North Macedonia"
184758521,41.8015937,21.8972752,Vineyard,Vineyard Surface,"Milino, Municipality of Lozovo, Vardar Region, North Macedonia"
184915392,41.7711654,22.1276759,Vineyard,Vineyard Surface,"Tri Cheshmi, Municipality of Shtip, Eastern Region, North Macedonia"
185741927,41.7766924,21.8800932,Vineyard,Vineyard Surface,"A3, Dorfulija, Municipality of Lozovo, Vardar Region, North Macedonia"
185741928,41.7817927,21.8945235,Vineyard,Vineyard Surface,"A3, Lozovo, Municipality of Lozovo, Vardar Region, North Macedonia"
185741929,41.7769165,21.8838805,Vineyard,Vineyard Surface,"A3, Dorfulija, Municipality of Lozovo, Vardar Region, North Macedonia"
185741931,41.7767925,21.8818152,Vineyard,Vineyard Surface,"A3, Dorfulija, Municipality of Lozovo, Vardar Region, North Macedonia"
185743145,41.7960279,21.957086,Vineyard,Vineyard Surface,"A3, Adzhimatovo, Municipality of Lozovo, Vardar Region, North Macedonia"
185743147,41.8021665,21.9504422,Vineyard,Vineyard Surface,"Adzhimatovo, Municipality of Lozovo, Vardar Region, North Macedonia"
185743149,41.8057415,21.9537252,Vineyard,Vineyard Surface,"Gorno Crnilishte, Municipality of Sveti Nikole, Vardar Region, North Macedonia"
191428412,41.7671574,22.2207908,Vineyard,Vineyard Surface,"Star Karaorman, Municipality of Shtip, Eastern Region, North Macedonia"
195604194,41.2639596,22.4761766,Vineyard,Vineyard Surface,"R1102, Smokvica, Municipality of Gevgelija, Southeastern Region, North Macedonia"
209778775,41.2508954,22.6529611,Vineyard,Vineyard Surface,"R1105, Crnichani, Municipality of Dojran, Southeastern Region, North Macedonia"
209778783,41.2326383,22.6717687,Vineyard,Vineyard Surface,"Crnichani, Municipality of Dojran, Southeastern Region, North Macedonia"
209778784,41.250447,22.6434101,Vineyard,Vineyard Surface,"R1105, Furka, Municipality of Dojran, Southeastern Region, North Macedonia"
209778785,41.235963,22.7000651,Vineyard,Vineyard Surface,"Nov Dojran, Municipality of Dojran, Southeastern Region, North Macedonia"
209783593,41.1570378,22.7302505,Winery,Владајско Поле,"Sretenovo, Municipality of Dojran, Southeastern Region, North Macedonia"
209997627,41.2545893,22.6315462,Vineyard,Vineyard Surface,"R1105, Furka, Municipality of Dojran, Southeastern Region, 2460, North Macedonia"
210004311,41.3110694,22.5852777,Vineyard,Vineyard Surface,"R1105, Rabrovo, Municipality of Valandovo, Southeastern Region, 2460, North Macedonia"
210004316,41.3108959,22.5915804,Vineyard,Vineyard Surface,"Tatarli, Rabrovo, Municipality of Valandovo, Southeastern Region, 2460, North Macedonia"
210218254,41.1876529,22.6273077,Vineyard,Vineyard Surface,"Bogdanci, Municipality of Bogdanci, Southeastern Region, 1484, North Macedonia"
219685230,40.9090807,20.7594113,Vineyard,Vineyard Surface,"R1301, Lubanishta, Municipality of Ohrid, Southwestern Region, North Macedonia"
219685549,40.9128112,20.7575069,Vineyard,Vineyard Surface,"R1301, Lubanishta, Municipality of Ohrid, Southwestern Region, North Macedonia"
227392397,41.1354819,22.5379583,Vineyard,Vineyard Surface,"Bogorodica, Municipality of Gevgelija, Southeastern Region, North Macedonia"
227533578,41.1405505,22.479262,Vineyard,Vineyard Surface,"Стрелиште, Апостол Петков, Gevgelija, Municipality of Gevgelija, Southeastern Region, 1480, North Macedonia"
227533580,41.1408119,22.4793556,Vineyard,Vineyard Surface,"Стрелиште, Апостол Петков, Gevgelija, Municipality of Gevgelija, Southeastern Region, 1480, North Macedonia"
227534349,41.1409129,22.4802618,Vineyard,Vineyard Surface,"Стрелиште, Апостол Петков, Gevgelija, Municipality of Gevgelija, Southeastern Region, 1480, North Macedonia"
231461197,41.934747,21.3981961,Vineyard,Vineyard Surface,"Dobri Dol, Municipality of Sopishte, Skopje Region, 1054, North Macedonia"
231461209,41.9326028,21.4111458,Vineyard,Vineyard Surface,"Улица 1, Dobri Dol, Municipality of Sopishte, Skopje Region, 1054, North Macedonia"
234267744,41.679515,21.818144,Vineyard,Vineyard Surface,"R1102, Babuna, Veles, Municipality of Veles, Vardar Region, 1400, North Macedonia"
234395635,41.9493061,21.4681737,Vineyard,Vineyard Surface,"Usje, Municipality of Kisela Voda, City of Skopje, Skopje Region, North Macedonia"
234395663,41.9513226,21.4663813,Vineyard,Vineyard Surface,"Usje, Municipality of Kisela Voda, City of Skopje, Skopje Region, 1054, North Macedonia"
237682132,41.8452645,22.4173932,Vineyard,Vineyard Surface,"Morodvis, Municipality of Zrnovci, Eastern Region, North Macedonia"
238202636,41.9087465,22.4680747,Vineyard,Vineyard Surface,"A3, Istibanja, Municipality of Vinica, Eastern Region, 2310, North Macedonia"
238202646,41.9089881,22.4763332,Vineyard,Vineyard Surface,"R1304, Istibanja, Municipality of Vinica, Eastern Region, 2310, North Macedonia"
